epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,448.513,2.34972,1.97037,2.025,0.65224,0.6682,0.66302,0.43487,2.55426,2.08329,2.07277,0.000225068,0.000225068,0.000225068
78,454.273,2.33628,1.96408,2.02353,0.6156,0.70853,0.65542,0.44009,2.56289,2.12441,2.07912,0.000216069,0.000216069,0.000216069
79,460.087,2.32511,1.94067,2.01765,0.65487,0.64184,0.66314,0.44626,2.53647,2.11141,2.06331,0.00020707,0.00020707,0.00020707
80,465.701,2.37614,1.88626,2.00409,0.68686,0.67952,0.67589,0.44755,2.53946,2.08561,2.05985,0.000198071,0.000198071,0.000198071
81,471.425,2.3187,1.93154,2.0184,0.67179,0.63789,0.67309,0.43822,2.59327,2.07438,2.08488,0.000189072,0.000189072,0.000189072
82,477.178,2.31774,1.94026,2.02209,0.60879,0.71767,0.6774,0.43967,2.5845,2.10164,2.08137,0.000180073,0.000180073,0.000180073
83,482.973,2.40404,1.95751,2.04508,0.68416,0.64784,0.67511,0.44674,2.55904,2.08631,2.06564,0.000171074,0.000171074,0.000171074
84,488.716,2.29241,1.81539,1.98747,0.6559,0.68874,0.69108,0.45897,2.55115,2.1019,2.07328,0.000162075,0.000162075,0.000162075
85,494.616,2.38167,1.96107,1.99979,0.65535,0.69507,0.69156,0.4504,2.56061,2.10797,2.07132,0.000153076,0.000153076,0.000153076
86,500.362,2.43684,1.95377,2.02252,0.61175,0.70837,0.6804,0.44158,2.55677,2.07612,2.06665,0.000144077,0.000144077,0.000144077
87,506.056,2.41258,1.95824,2.0253,0.59842,0.70448,0.66433,0.444,2.53909,2.07785,2.06557,0.000135077,0.000135077,0.000135077
88,511.793,2.38392,1.88067,1.99658,0.60639,0.70737,0.67494,0.45178,2.54994,2.0889,2.06543,0.000126078,0.000126078,0.000126078
89,517.708,2.34743,1.91068,2.01134,0.61415,0.71898,0.66973,0.44656,2.55405,2.10273,2.07088,0.000117079,0.000117079,0.000117079
90,523.491,2.29907,1.87797,1.97461,0.66305,0.67985,0.6703,0.43855,2.55728,2.03015,2.06883,0.00010808,0.00010808,0.00010808
91,530.403,2.51578,2.01545,1.99235,0.67468,0.6732,0.68688,0.44779,2.59954,2.06001,2.0939,9.9081e-05,9.9081e-05,9.9081e-05
92,536.172,2.53971,2.00863,2.01688,0.63383,0.6874,0.63572,0.41689,2.61586,2.08798,2.10357,9.00819e-05,9.00819e-05,9.00819e-05
93,541.833,2.48226,1.92537,1.99716,0.65031,0.68701,0.63968,0.42201,2.60999,2.11493,2.09992,8.10828e-05,8.10828e-05,8.10828e-05
94,547.523,2.4793,1.94865,1.9939,0.65428,0.68757,0.64088,0.42248,2.5993,2.09377,2.09875,7.20837e-05,7.20837e-05,7.20837e-05
95,553.333,2.45762,1.90947,1.97936,0.64168,0.70177,0.64046,0.42162,2.58916,2.10446,2.09339,6.30846e-05,6.30846e-05,6.30846e-05
96,558.914,2.43075,1.92227,1.96425,0.64966,0.7123,0.64149,0.42203,2.60641,2.06545,2.09057,5.40855e-05,5.40855e-05,5.40855e-05
97,564.641,2.47541,1.89604,1.99494,0.66238,0.70404,0.65316,0.4351,2.59841,2.07959,2.08967,4.50864e-05,4.50864e-05,4.50864e-05
98,570.276,2.45024,1.91577,1.96907,0.65967,0.6899,0.6606,0.43391,2.59601,2.08594,2.08768,3.60873e-05,3.60873e-05,3.60873e-05
99,575.959,2.48212,1.93118,1.98495,0.65888,0.70997,0.64857,0.42427,2.60086,2.07392,2.08804,2.70882e-05,2.70882e-05,2.70882e-05
100,581.662,2.44919,1.8641,1.98936,0.6457,0.69838,0.65121,0.42835,2.58884,2.09212,2.08444,1.80891e-05,1.80891e-05,1.80891e-05
